	
GC, 20120227, NYMEX, 2011-12-28 14:00, 2012-01-27 23:59
GC, 20120426, NYMEX, 2012-01-28 00:00, 2012-03-01 14:00
ZF, 20120330, ECBOT, 2011-11-30 00:00, 2012-03-01 14:00
ZS, 20120314, ECBOT, 2011-12-23 00:00, 2012-02-23 23:59
ZS, 20120514, ECBOT, 2011-02-24 00:00, 2012-03-01 14:00
CL, 20120120, NYMEX, 2011-12-30 14:14, 2012-01-18 23:59
CL, 20120221, NYMEX, 2012-01-19 00:00, 2012-02-16 23:59
CL, 20120320, NYMEX, 2012-01-19 00:00, 2012-02-16 23:59

symbol |   exp    |       mindate       |       maxdate       
--------+----------+---------------------+---------------------
 GC     | 20111228 | 2009-03-29 15:00:00 | 2011-12-28 14:14:00
 ZF     | 20111230 | 2009-03-01 15:30:00 | 2011-12-30 13:59:00
 ZS     | 20120113 | 2009-01-08 00:00:00 | 2011-12-30 11:14:00
 CL     | 20120120 | 2009-04-16 00:00:00 | 2011-12-30 14:14:00

  symbol |  expiry  | exchange 
--------+----------+----------
 CL     | 20120221 | NYMEX
 CL     | 20120320 | NYMEX
 CL     | 20120420 | NYMEX
 CL     | 20120522 | NYMEX
 CL     | 20120620 | NYMEX
 GC     | 20120227 | NYMEX
 GC     | 20120426 | NYMEX
 GC     | 20120627 | NYMEX
 ZF     | 20120330 | ECBOT
 ZF     | 20120629 | ECBOT
 ZS     | 20120314 | ECBOT
 ZS     | 20120514 | ECBOT


